"Nuclear production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Equatorial Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eritrea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Eritrea and Ethiopia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estonia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ethiopia";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Faeroe Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Falkland Is (Malvinas)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fiji";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Finland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228718,830610491;280653,482373174;579707,652622531;603783,319002583;1260963,02665521;1442476,35425624;1523645,74376613;1622269,99140156;1638779,01977645;1638779,01977645;1689251,93465177;1681341,35855547;1641444,53998281;1652278,58985384;1677644,02407568;1656061,90885641;1713499,5700774;1670421,32416166;1652278,58985384;1674634,56577817;1796560,61908857;1879019,77644025;1975408,42648324;1932846,08770422;1958125,53740328;1917024,93551162;1954514,18744627;1953224,41960448;2000945,82975066;1969561,4789338;2014015,47721411;1974032,67411867;2022871,88306106;1960447,1195185;1993723,12983664
"France";12553,7403267413;23301,8056749786;40670,6792777302;40068,7876182289;56319,8624247638;90541,7024935516;138091,143594154;251160,791057611;304299,226139297;426139,294926915;491057,609630269;802751,504729153;1254686,15649184;1267497,85038694;1263542,56233879;1569045,57179708;1356663,80051591;1546517,62682718;2621066,20808256;3435941,53052452;5266638,0051591;9056405,8469476;9365348,23731733;12404213,2416166;16443164,2304386;19269131,55632;21853396,3886502;22830610,4901119;23690541,7024937;26133361,9948411;27006104,9011179;28490111,7798798;29101031,8142736;31658469,4754946;30952794,4969907;32436027,5150475;34165090,2837491;34005417,0249357;33361134,995701;33898882,201204;35697506,4488394;36206018,9165952;37554600,1719692;37925193,4651765;38541788,4780742;38824505,5889942;38709458,2975066;37809974,2046434;37785640,584695;35230954,4282031;36846173,6887362;38038091,1435944
