"Hydro production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Canada";9182459,15735173;9012467,755804;9025881,3413586;9009716,25107485;9831642,30438526;10153740,3267412;11263972,4849528;11515391,2295787;11711092,0034394;12952536,5434223;13597334,4797937;13969131,5563199;15618142,7343079;16737231,2983664;18114101,461737;17409286,328461;18287962,1668101;18929234,7377473;20228202,9234739;20990627,6870164;21594840,928633;22873172,8288909;22166380,0515908;22867755,8039554;24602149,6130698;26108770,4213243;26709802,2355977;27188822,012038;26434651,7626829;25051590,7136717;25514789,3379193;26505932,9320724;27203611,3499572;27820808,2545143;28360619,0885642;28884178,8478076;30580137,5752366;30154600,1719692;28537403,267412;29730266,5520208;30826225,2794499;28660275,1504731;30142218,400688;29015047,2914877;29306534,8237319;31266122,0980225;30339810,83405;31606620,8082547;32183662,9406708;31698022,3559761;30221840,0687878;32364144,4539985
"Cape Verde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cayman Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Central African Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chad";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Channel Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chile";;;;;;;;;;;;413499,570077388;492691,315563201;481083,404987105;547205,503009461;549269,131556323;567411,865864147;599226,13929493;623473,774720554;640412,725709376;676784,178847811;700773,860705077;766466,036113504;826569,217540847;857695,614789342;951848,667239902;1017196,90455719;1102579,53568358;1079793,63714532;906534,823731733;767669,819432506;1129320,72227;1440240,75666381;1534995,70077387;1460533,10404128;1583319,00257954;1448065,34823732;1629062,76870164;1370937,23129837;1168529,66466037;1592089,42390371;1805932,93207224;1914445,39982804;1863628,54686158;1889853,82631127;2277128,11693896;2504643,16423045;1988822,01203784;2080223,55975925;2175064,4883921;1867325,88134137;1806448,83920895
"China";;;;;;;;;;;;2579535,68357697;2923473,77472057;3267411,86586416;3697334,47979366;3869303,52536546;3920894,23903699;4092863,28460879;3834909,7162511;4307824,59157354;5005159,07136718;5636285,46861568;6397248,49527088;7425623,38779024;7461736,88736032;7942390,36973349;8128116,93895103;8599312,12381776;9385210,66208088;10179707,6526226;10895958,7274291;10755803,9552881;11390369,733448;13054084,2648324;14393809,1143595;16386672,3989683;16162166,8099743;16851504,7291488;17884780,739467;17524247,6354257;19124161,6509029;23854858,1255375;24761306,9647465;24392175,4084266;30399312,1238179;34137317,2828893;37470851,2467758;41725193,4651765;50317024,9355119;52935511,6079109;62095614,7893382;
"Christmas Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cocos Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
