"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Uzbekistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48892507178,9371;48837070281,2142;45759677857,336;44382725750,9799;43236944962,4168;42267780607,4172;42673814312,1636;43128839859,2978;42944031225,9781;42722404325,2014;44111931136,6144;43887937875,014;44882732197,7857;44823470621,6046;45232153512,782;44405210621,5462;45867741548,7651;43953077526,4627;44159766134,1919;44424042318,4382;45232870719,8975;
"Wallis et Futuna";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Vanuatu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Venezuela";;;;;;;;;;;;12343000000;13422000000;14469000000;15607000000;16222000000;17542000000;19556000000;22159000000;27116000000;30658000000;34973134353,8805;33017349695,3549;36337231094,9672;39333845695,3156;40030016089,8053;41083471358,4403;44281259612,4144;48541379151,762;47624107645,0112;48483345053,7215;51149101491,3106;55222396613,4856;56650270139,8608;57210670494,3706;58130655000,1361;59828682042,8406;61676651623,677;62214113278,6059;61826730653,2451;64635027228,1683;67468248524,2883;69387432909,437;68099093326,4002;72908124307,0387;76655463047,3718;82789216973,5119;82945943971,8371;86747697224,4496;87058883243,0947;95245374504,4739;
"West Bank and Gaza";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"West Germany";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Western Sahara";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Vietnam";;;;;;;;;;;;1885638995,92675;1801753365,43456;1920609792,95426;1686265794,04524;1967572652,80033;2379478977,74725;2773401363,74762;2852447949,51484;2834880766,42117;2947631943,3892;3037320451,41638;3258483916,46793;3315362029,39757;3950929169,18942;4242246211,94877;4525677116,06832;5048133479,10931;5608309183,17184;6186425842,15889;6582423106,69876;6990914548,73711;7381152213,40802;8308179552,21159;9785532432,75985;11789606145,3424;14046607065,655;16029989891,2483;18575201587,3824;20358263449,7309;23236539329,5711;26703252410,1703;31156295488,8627;36055596700,9161;40606379799,5768;48226166739,4273;55095727745,73;62773677276,4901;69889577573,4443;79722797698,1924;90893662109,3737;
"Virgin Islands (U.S.)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"North Yemen (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Yemen (former)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yemen";;;;;;;;;;;;209000000;215000000;206000000;240000000;257000000;301000000;317000000;360000000;394000000;503000000;543000000;655000000;693000000;776000000;823000000;972000000;1041000000;1185000000;1212000000;1471000000;1640000000;1739000000;1862000000;1751000000;1909000000;1909000000;2189000000;2202000000;2239000000;2465000000;2613000000;2835000000;3118000000;3388000000;3693000000;4011000000;4495000000;5039000000;5105000000;5980000000;
"Yugoslavia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Zambia";;;;;;;;;;;;4411000000;4785000000;5174000000;5671000000;5710000000;5993000000;5874000000;5838000000;5917000000;6070000000;6499000000;6620000000;6708000000;6660000000;6565000000;6435000000;6517000000;7095000000;6099000000;6123000000;6076000000;6218000000;6411000000;6488000000;6463000000;6403000000;6126000000;5748000000;5939000000;6224000000;6615000000;7066000000;7467000000;7913000000;8214000000;8763000000;8308000000;7578000000;7524000000;8156049475,92174;
"Zimbabwe";;;;;;;;;;;;3560000000;4676000000;4962000000;5336000000;5967000000;6546000000;6175000000;5942000000;6406000000;6995000000;7263000000;7456000000;7283000000;7109000000;8308000000;8019000000;8373000000;8452000000;8973000000;9028000000;9144000000;8581000000;8178000000;8757000000;9391000000;10010000000;10504000000;10294000000;10958000000;10668000000;10398000000;10500000000;10540000000;10286000000;12504000000;12501000000;12726000000;12740000000;12801000000;12850000000;
"Åland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Sudan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Christian";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Coastline";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Curaçao";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sint Maarten (Dutch part)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Martin (French part)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Antarctica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Virgin Islands, British";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hawaiian Trade Zone";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"U.S. Pacific Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Wake Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bonaire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sark";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chinese Taipei";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Saint Eustatius";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Saba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
