"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Chile";;;;;;;;;;;;7569000000;7960000000;7780000000;8349000000;7745000000;8269000000;8671000000;9249000000;9864000000;10309000000;10645000000;10421000000;10794000000;11678000000;12112000000;12796000000;13331000000;14409000000;15785000000;16429000000;17732000000;19991000000;21123000000;22506000000;25100000000;28103000000;30598000000;32606000000;36284000000;38345000000;40787000000;42785000000;45929000000;49077000000;50096000000;52701000000;55202000000;55777000000;55666000000;56425000000;
"China";;;;;;;;;;;;126470356563,129;139355465876,297;152642283070,311;154617411429,04;179693096165,875;186669974021,902;205564691377,017;236097887789,551;259400954872,993;276885122883,142;284865304538,312;302361878622,587;324974445375,409;350001985001,519;383339693707,775;420230258558,039;465756968078,706;512751891563,683;549901961929,111;584694860381,559;637160692035,917;710540353644,153;787550376252,58;873517954616,348;934992012008,906;1006638685903,5;1055448208818;1087301790970,51;1150999291686,22;1260660611861,65;1376355005324,3;1537258326913,61;1785146383091,82;2063678185621,14;2332556732491,75;2684311219671,61;3079379743512,62;3264285572302,75;3514182722345,11;3948255236313,41;
"Christmas Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cocos Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Colombia";;;;;;;;;;;;9086000000;8987000000;9932000000;11089000000;10975000000;11587000000;12943000000;14621000000;15980000000;17143000000;17440000000;18529000000;19068000000;21129000000;22619000000;24743000000;24492000000;25605000000;27637000000;28852000000;29410000000;26805000000;30628000000;32551000000;33525000000;33780000000;34621000000;34308000000;32281000000;33511000000;34858000000;35695000000;36357000000;38381000000;38776000000;41536000000;43260000000;43759000000;47726000000;46867000000;
"Comoros";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Congo, Dem. Rep.";;;;;;;;;;;;3337000000;3354000000;3630000000;3772000000;3830000000;3813000000;3840000000;3703000000;3668000000;3978000000;3668000000;3613000000;3921000000;4116000000;4427000000;4623000000;4598000000;4733000000;5672000000;4530000000;4506000000;4302000000;3982000000;4078000000;4527000000;4483000000;4181000000;4189000000;4388000000;4549000000;4627000000;4475000000;4639000000;4680000000;4901000000;5758000000;6152000000;6114000000;6668000000;6277000000;
"Congo, Rep.";;;;;;;;;;;;77000000;81000000;91000000;95000000;102000000;109000000;115000000;121000000;131000000;148000000;128000000;197000000;193000000;298000000;232000000;372000000;390000000;375000000;390000000;410000000;448000000;442000000;411000000;380000000;410000000;430000000;370000000;327000000;211000000;299000000;337000000;382000000;391000000;370000000;425000000;471000000;486000000;543000000;600000000;588000000;
"Cook Is";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Costa Rica";;;;;;;;;;;;1148000000;1267000000;1347000000;1468000000;1531000000;1647000000;1760000000;1925000000;1997000000;2226000000;2365000000;2356000000;2382000000;2637000000;2757000000;3027000000;3303000000;3383000000;3272000000;3344000000;3592000000;4619000000;4495000000;4384000000;4526000000;4540000000;5057000000;4996000000;5578000000;5971000000;5994000000;6392000000;6844000000;7096000000;7376000000;7921000000;8305000000;8432000000;8342000000;8643000000;
"Cote d'Ivoire";;;;;;;;;;;;517000000;581000000;669000000;717000000;808000000;937000000;1044000000;1188000000;1528000000;1469000000;1586000000;1635000000;1627000000;1257000000;1499000000;1563000000;1825000000;1941000000;1849000000;1913000000;1835000000;1961000000;1914000000;2012000000;2504000000;2370000000;2603000000;2915000000;2819000000;2863000000;3071000000;3044000000;3069000000;3121000000;3154000000;3408000000;3587000000;3836000000;4056000000;4137000000;
"Croatia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13510019079,4979;12356446835,4767;10457339267,1141;10143824703,4483;10267983792,9032;10694002290,4262;11356808580,3293;11974216106,7367;12149713460,5643;12409846907,3342;12797912534,1166;12913929342,3423;13764171597,2973;14022189277,027;14747875013,7418;15439951337,2355;16120425250,6757;16542605297,5654;17136445926,7028;16371685097,3132;16792056097,7818;
